id,name,surname,birthdate,age,married,height,salary,nullsurname,nullbirthdate,nullage,nullmarried,nullheight,nullsalary
1,Yuma,Mellanby,2014-12-19 23:15:40,1338621704,true,8523744158.898067,403671235646314623,Krystek,1978-09-30 01:05:52,887355829,false,,
2,Annabela,Bingham,2002-02-05 08:44:24,305738559,true,-4814200662.330445,3965345147219941209,Clark,2015-05-03 15:11:48,990062431,false,,
3,Dalt,Griffiths,1973-08-16 11:00:56,244263343,true,6636545515.199657,1694597751027621902,Harbar,2015-02-23 07:47:19,828637646,,2891974605.613564,
4,Man,Crank,1965-08-06 18:02:40,1864106736,false,-4132683696.213511,9050870592783045344,Eveleigh,,1722735282,false,,
5,Doria,Pero,2011-12-14 23:06:56,2032891119,true,-1823315798.371778,1987974867426919831,,,,,6581160069.67802,
6,Massimiliano,Carabet,1995-09-15 15:00:37,739269144,false,-2442595972.399065,6855017117025576869,Dreigher,,1860949001,false,,6448303328151808313
7,Irwinn,Castello,1974-07-04 23:20:17,1555971434,true,6449592000.664513,3113831880262679668,Cromarty,,721227539,false,-2765545940.791638,1324538263512002881
8,Karlene,Glasman,1980-08-01 07:41:18,1923636879,false,-9035048496.001465,8494768805115530520,Galland,,1420834637,false,5340171611.800478,
9,Rhona,Tidgewell,1966-09-12 21:49:51,1986015186,true,4009292940.64476,6459444942945067063,Westhoff,,285730411,false,-9611525771.908339,
10,Lind,Yakuntsov,1960-09-05 22:55:57,151358222,false,-8679592949.078083,435279459885187750,Langelaan,,342239046,true,,
11,Sampson,Thorburn,1981-08-31 12:37:07,1811687890,false,851627717.946133,1882792628353380743,Penner,,,,8518283542.935291,
12,Dalis,Bisacre,1999-02-21 02:33:10,421091883,false,-1658434582.62781,1743824763930482803,Mordan,,,,,
13,Marylynne,Dilon,2010-02-17 15:27:59,130519749,true,7425272058.29847,7802671129665087512,Crabtree,,810179886,,-8204384960.498468,
14,Sharona,Duchatel,1970-05-18 11:02:08,1980271485,true,-8359670953.362967,6549498711230781587,,,572588466,true,6742665086.116167,
15,Burgess,McGraith,1986-08-18 01:31:12,1364887220,true,-7574192004.714088,8025649444315080308,Prettyman,,,true,1154935598.01594,
